team,off_eff,def_eff,tempo,off_eff_home,def_eff_home,off_eff_away,def_eff_away
San Jose St.,108.532,114.943,0.340747,108.532,114.943,108.532,114.943
Utah Valley,112.446,103.673,0.717926,112.446,103.673,112.446,103.673
Missouri,116.188,104.465,0.772612,116.188,104.465,116.188,104.465
Cincinnati,106.616,92.7418,0.832481,106.616,92.7418,106.616,92.7418
South Dakota St.,109.353,110.928,0.458984,109.353,110.928,109.353,110.928
Boston University,108.839,120.734,0.23276,108.839,120.734,108.839,120.734
Air Force,94.6793,111.556,0.131664,94.6793,111.556,94.6793,111.556
Bradley,110.187,109.27,0.524009,110.187,109.27,110.187,109.27
Troy,115.726,109.685,0.649436,115.726,109.685,115.726,109.685
Gonzaga,122.466,94.7249,0.950444,122.466,94.7249,122.466,94.7249
South Florida,116.777,104.13,0.78889,116.777,104.13,116.777,104.13
Stonehill,92.0014,109.295,0.121225,92.0014,109.295,92.0014,109.295
Loyola MD,102.595,120.034,0.141209,102.595,120.034,102.595,120.034
Belmont,118.014,106.306,0.768788,118.014,106.306,118.014,106.306
Siena,106.885,108.115,0.467174,106.885,108.115,106.885,108.115
Southern Utah,103.373,112.737,0.269484,103.373,112.737,103.373,112.737
N.C. State,121.629,99.4217,0.910394,121.629,99.4217,121.629,99.4217
Pittsburgh,114.446,107.291,0.677527,114.446,107.291,114.446,107.291
Furman,106.871,107.806,0.474988,106.871,107.806,106.871,107.806
Massachusetts,108.215,107.326,0.523706,108.215,107.326,108.215,107.326
Mount St. Mary's,98.9634,110.953,0.211639,98.9634,110.953,98.9634,110.953
Bryant,95.0803,116.856,0.0853715,95.0803,116.856,95.0803,116.856
Syracuse,114.213,102.483,0.776646,114.213,102.483,114.213,102.483
Jacksonville St.,106.782,108.875,0.444427,106.782,108.875,106.782,108.875
McNeese St.,116.808,106.065,0.752042,116.808,106.065,116.808,106.065
Quinnipiac,106.492,107.822,0.464384,106.492,107.822,106.492,107.822
Rhode Island,107.662,103.376,0.614718,107.662,103.376,107.662,103.376
Detroit Mercy,108.164,114.876,0.333502,108.164,114.876,108.164,114.876
Sam Houston St.,112.883,106.235,0.667754,112.883,106.235,112.883,106.235
East Tennessee St.,109.159,107.23,0.551071,109.159,107.23,109.159,107.23
